Societe,Statement,Cle_indicateur,Date,Nb_occurrences,Valeurs,Indicateur
DELICE,Bilan,autrespassifscourants,2016-12-31,2,394115 | -971118,Autres passifs courants
DELICE,Bilan,autrespassifscourants,2017-12-31,2,985355 | 591240,Autres passifs courants
DELICE,Bilan,autrespassifscourants,2020-12-31,2,445971 | 1.52256e+06,Autres passifs courants
DELICE,Bilan,autrespassifscourants,2021-12-31,2,847414 | 2.36998e+06,Autres passifs courants
DELICE,Bilan,autrespassifscourants,2022-12-31,2,-1.09798e+06 | 2.54033e+06,Autres passifs courants
DELICE,Bilan,autrespassifscourants,2023-12-31,2,168031 | 1.44003e+06,Autres passifs courants
DELICE,Bilan,autrespassifscourants,2024-12-31,2,1.63729e+06 | 197268,Autres passifs courants
DELICE,Bilan,autrespassifscourants,2025-12-31,2,3.0825e+07 | 366485,Autres passifs courants
DELICE,Bilan,placementsetautresactifsfinanciers,2015-12-31,2,1.65e+07 | 409943,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2016-12-31,2,1.55e+07 | 284310,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2017-12-31,2,1.85e+07 | 598896,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2018-12-31,2,3.72119e+07 | 3.20145e+07,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2019-12-31,2,1.02217e+07 | 6.26976e+07,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2020-12-31,2,9e+06 | 1.21544e+06,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2021-12-31,2,2e+06 | 9.06261e+06,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2023-12-31,2,7e+06 | 589779,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2024-12-31,2,1.29146e+07 | 877781,Placements et autres actifs financiers
DELICE,Bilan,placementsetautresactifsfinanciers,2025-12-31,2,3.22001e+07 | 1.7234e+06,Placements et autres actifs financiers
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2015-12-31,2,2.70851e+07 | 5.78434e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2016-12-31,2,2.31184e+07 | 5.76844e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2017-12-31,2,2.36427e+07 | 5.77426e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2020-12-31,2,2.13413e+07 | 5.78359e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2021-12-31,2,2.13561e+07 | 5.794e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2022-12-31,2,2.39268e+07 | 5.83011e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2023-12-31,2,3.44309e+07 | 5.95479e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2024-12-31,2,5.8901e+07 | 6.21435e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldescapitauxpropresavantaffectation,2025-12-31,2,6.47818e+07 | 6.3131e+08,Total des capitaux propres avant affectation
DELICE,Bilan,totaldespassifsnoncourants,2020-12-31,2,200000 | 5.57899e+08,Total des passifs non courants
DELICE,Bilan,totaldespassifsnoncourants,2021-12-31,2,365804 | 5.65571e+08,Total des passifs non courants
DELICE,Compte de resultat,autrespertesordinaires,2016-12-31,2,-3.24537e+06 | 3.24537e+06,Autres pertes ordinaires
DELICE,Compte de resultat,autrespertesordinaires,2022-12-31,2,-2e+06 | 2e+06,Autres pertes ordinaires
DELICE,Compte de resultat,resultatnetdelexercice,2018-12-31,2,3.00531e+07 | 3.08916e+07,Résultat net de l'exercice
DELICE,Compte de resultat,resultatnetdelexercice,2019-12-31,2,4.30112e+07 | 4.65293e+07,Résultat net de l'exercice
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2016-12-31,2,1e+06 | -2.47083e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2017-12-31,2,-3e+06 | -2.30611e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2020-12-31,2,500000 | -1.82841e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2021-12-31,2,7e+06 | -2.03157e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2022-12-31,2,2e+06 | -1.90474e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2023-12-31,2,-7e+06 | -2.32312e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2024-12-31,2,-5.91463e+06 | -3.29444e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,fluxdetresorerieactivitesdefinancement,2025-12-31,2,-1.92855e+07 | -2.60861e+07,Flux de trésorerie – Activités de financement
DELICE,Flux de tresorerie,variationsfournisseursetautresdettes,2019-12-31,2,6.75906e+06 | 190062,Variations fournisseurs et autres dettes
SFBT,Compte de resultat,resultatdesactivitesordinairesapresimpot,2010-12-31,2,5.53719e+07 | 4.63721e+07,Résultat des activités ordinaires aprés impôt
SFBT,Compte de resultat,resultatdesactivitesordinairesapresimpot,2011-12-31,2,6.33946e+07 | 4.75574e+07,Résultat des activités ordinaires aprés impôt
SFBT,Compte de resultat,resultatdesactivitesordinairesapresimpot,2012-12-31,2,7.42294e+07 | 4.94126e+07,Résultat des activités ordinaires aprés impôt
SFBT,Compte de resultat,resultatnetdelexercice,2018-12-31,2,1.21884e+08 | 1.78243e+08,Résultat net de l’exercice
SFBT,Compte de resultat,resultatnetdelexercice,2019-12-31,2,1.53069e+08 | 2.08328e+08,Résultat net de l’exercice
SFBT,Flux de tresorerie,incidencedesvariationsdestauxdechangesurlesliquiditesetequivalentsdeliquidites,2023-12-31,2,-20429.7 | 20429.7,Incidence des variations des taux de change sur les liquidités et équivalents de liquidités
SFBT,Flux de tresorerie,incidencedesvariationsdestauxdechangesurlesliquiditesetequivalentsdeliquidites,2024-06-30,2,35942.4 | -35942.4,Incidence des variations des taux de change sur les liquidités et équivalents de liquidités
SFBT,Flux de tresorerie,incidencedesvariationsdestauxdechangesurlesliquiditesetequivalentsdeliquidites,2024-12-31,2,68451.7 | -68451.7,Incidence des variations des taux de change sur les liquidités et équivalents de liquidités
SFBT,Flux de tresorerie,incidencedesvariationsdestauxdechangesurlesliquiditesetequivalentsdeliquidites,2025-06-30,2,64479.7 | -64479.7,Incidence des variations des taux de change sur les liquidités et équivalents de liquidités
